id,Country,Year,DiseaseName,DiseaseCategory,PrevalenceRate,IncidenceRate,MortalityRate,AgeGroup,Gender,PopulationAffected,HealthcareAccess,DoctorsPer1000,HospitalBedsPer1000,TreatmentType,AverageTreatmentCost,AvailabilityOfVaccinesTreatment,RecoveryRate,DALYs,ImprovementIn5Years,PerCapitaIncome,EducationIndex,UrbanizationRate
3,Turkey,2015,COVID-19,Genetic,0.91,2.35,6.22,36-60,Male,154878,56.41,4.07,3.49,Vaccination,27834.0,Yes,98.55,41.0,5.81,12245.0,0.41,40.2
11,Canada,2011,Leprosy,Cardiovascular,11.15,0.6,2.97,36-60,Female,76858,67.88,0.66,1.99,Surgery,19993.0,Yes,76.16,4238.0,1.23,44699.0,0.58,51.5
23,South Africa,2014,Malaria,Bacterial,5.94,4.29,2.36,61+,Female,857183,61.32,4.56,6.88,Therapy,14578.0,Yes,72.97,433.0,1.4,52974.0,0.53,43.97
38,Turkey,2006,Malaria,Cardiovascular,10.53,2.5,5.09,0-18,Male,923451,76.24,1.43,2.95,Vaccination,29311.0,Yes,93.53,110.0,6.45,51865.0,0.74,58.38
43,Indonesia,2000,Rabies,Bacterial,1.22,13.78,3.9,0-18,Male,723071,56.9,3.04,3.53,Therapy,45214.0,Yes,97.84,4746.0,3.3,24147.0,0.73,79.39
44,Turkey,2022,Measles,Chronic,6.97,2.22,6.35,36-60,Male,534508,91.15,0.62,5.87,Vaccination,24653.0,No,76.34,2649.0,3.99,17444.0,0.5,59.77
46,Brazil,2003,Alzheimer's Disease,Neurological,12.5,13.27,9.34,19-35,Male,280906,89.39,3.91,5.6,Surgery,16622.0,Yes,87.39,326.0,1.16,32806.0,0.61,70.08
48,UK,2003,Malaria,Chronic,1.08,0.18,3.54,61+,Male,596241,85.86,2.84,5.94,Medication,31291.0,No,53.7,3352.0,8.65,55241.0,0.59,85.04
53,China,2022,Zika,Metabolic,17.12,4.84,7.71,36-60,Female,343352,98.3,0.87,7.39,Vaccination,43779.0,Yes,84.34,607.0,7.43,98415.0,0.55,37.01
54,Argentina,2015,Cholera,Infectious,18.17,12.36,2.68,61+,Male,417401,78.88,2.77,8.01,Therapy,26058.0,No,81.03,1210.0,7.43,29542.0,0.63,46.32
60,Russia,2023,Leprosy,Bacterial,16.22,8.43,9.61,61+,Other,422327,51.8,3.75,2.98,Therapy,27605.0,Yes,98.03,3145.0,4.23,13691.0,0.79,22.94
63,Brazil,2013,Ebola,Metabolic,16.01,8.55,1.35,19-35,Male,384573,81.59,3.08,3.16,Medication,18972.0,No,70.43,3356.0,8.75,14196.0,0.81,63.55
