Theme_Name,Set_Name,num_parts,year,Color,Unique_Parts
12V,Train with 12V Electric Motor,357,1969,White,7
12V,Train with 12V Electric Motor,357,1969,Red,16
12V,Train with 12V Electric Motor,357,1969,Light Gray,7
12V,Train with 12V Electric Motor,357,1969,Blue,13
12V,Train with 12V Electric Motor,357,1969,Black,19
12V,Train with 12V Electric Motor,357,1969,Yellow,3
12V,Train with 12V Electric Motor,357,1969,Trans-Clear,2
12V,Steam Locomotive,114,1969,Light Gray,2
12V,Steam Locomotive,114,1969,Trans-Clear,1
12V,Steam Locomotive,114,1969,Yellow,1
12V,Steam Locomotive,114,1969,Red,6
12V,Steam Locomotive,114,1969,[No Color],1
12V,Steam Locomotive,114,1969,Black,19
12V,12V Motor with Accessories Pack,25,1969,Black,3
12V,12V Motor with Accessories Pack,25,1969,Blue,3
12V,12V Motor with Accessories Pack,25,1969,Light Gray,2
12V,12V Motor with Accessories Pack,25,1969,Red,2
12V,12V Motor with Accessories Pack,25,1969,White,1
12V,12V Motor with Accessories Pack,25,1969,[No Color],1
12V,8 Curved 12V Conducting Rails,8,1969,Blue,1
12V,8 Straight 12V Conducting Rails,8,1969,Blue,1
12V,Automatic Right Electric Switch,5,1969,White,3
12V,Automatic Left Electric Switch,5,1969,White,3
12V,Automatic Left Electric Switch,5,1969,Blue,2
12V,Automatic Right Electric Switch,5,1969,Blue,2
12V,Motor Bushings,4,1969,[No Color],1
12V,12V Sleeper (Track) Contacts for Old Motor Type I and II,2,1969,Black,1
12V,12V Rail Contact Wire with Transformer Connector,1,1969,Blue,1
12V,12V Replacement Electric Motor,1,1969,Royal Blue,1
12V,12V Transformer for 220V Pack,1,1969,Blue,1
12V,12V Train Light Posts,52,1983,Black,1
12V,12V Train Light Posts,52,1983,Dark Gray,1
12V,12V Train Light Posts,52,1983,Light Gray,8
12V,12V Train Light Posts,52,1983,White,1
12V,Container Crane Depot,483,1986,Black,30
12V,Container Crane Depot,483,1986,Blue,16
12V,Container Crane Depot,483,1986,Dark Gray,1
12V,Container Crane Depot,483,1986,Light Gray,27
12V,Container Crane Depot,483,1986,Red,35
12V,Container Crane Depot,483,1986,Trans-Clear,3
12V,Container Crane Depot,483,1986,Trans-Red,1
12V,Container Crane Depot,483,1986,Trans-Yellow,1
12V,Container Crane Depot,483,1986,Yellow,3
12V,Container Crane Depot,483,1986,White,17
12V,Car Transport Depot,341,1986,Black,41
12V,Car Transport Depot,341,1986,Blue,2
12V,Car Transport Depot,341,1986,Brown,1
12V,Car Transport Depot,341,1986,Dark Gray,1
12V,Car Transport Depot,341,1986,Light Gray,19
12V,Car Transport Depot,341,1986,Red,16
12V,Car Transport Depot,341,1986,Trans-Clear,5
12V,Car Transport Depot,341,1986,Trans-Red,1
12V,Car Transport Depot,341,1986,Trans-Yellow,1
12V,Car Transport Depot,341,1986,White,19
12V,Car Transport Depot,341,1986,Yellow,3
4 Juniors,Picture Frame and Mirror,48,1980,White,10
4.5V,Motorized Train Set,344,1966,Light Gray,7
4.5V,Motorized Train Set,344,1966,Red,6
4.5V,Motorized Train Set,344,1966,Trans-Clear,3
4.5V,Motorized Train Set,344,1966,White,4
4.5V,Motorized Train Set,344,1966,Black,1
4.5V,Motorized Train Set,344,1966,Blue,19
4.5V,Starter Train Set with Motor,132,1966,White,3
4.5V,Starter Train Set with Motor,132,1966,Blue,12
4.5V,Starter Train Set with Motor,132,1966,Light Gray,3
4.5V,Starter Train Set with Motor,132,1966,Red,7
4.5V,Starter Train Set with Motor,132,1966,Trans-Clear,2
4.5V,Starter Train Set without Motor,118,1966,White,2
4.5V,Starter Train Set without Motor,118,1966,Blue,10
4.5V,Starter Train Set without Motor,118,1966,Light Gray,1
4.5V,Starter Train Set without Motor,118,1966,Red,6
4.5V,Starter Train Set without Motor,118,1966,Trans-Clear,2
4.5V,Small Train Set,88,1966,Blue,12
4.5V,Small Train Set,88,1966,Light Gray,2
4.5V,Small Train Set,88,1966,Red,4
4.5V,Small Train Set,88,1966,Trans-Clear,1
4.5V,Small Train Set,88,1966,White,2
4.5V,Small Train Set,88,1966,Yellow,2
4.5V,Locomotive with Motor,74,1966,Blue,12
4.5V,Locomotive with Motor,74,1966,Light Gray,6
4.5V,Locomotive with Motor,74,1966,Red,5
4.5V,Locomotive with Motor,74,1966,Trans-Clear,1
4.5V,Locomotive with Motor,74,1966,Black,1
4.5V,4.5V Motor with Wheels (Large Version),27,1966,Blue,1
4.5V,4.5V Motor with Wheels (Large Version),27,1966,Light Gray,4
4.5V,4.5V Motor with Wheels (Large Version),27,1966,Red,3
4.5V,4.5V Motor with Wheels (Large Version),27,1966,White,1
4.5V,Straight Track,25,1966,Blue,1
4.5V,Curved Track,25,1966,Blue,2
4.5V,Curved Track,25,1966,White,1
4.5V,Straight Track,25,1966,White,1
4.5V,Two Train Wagons,22,1966,Blue,1
4.5V,Two Train Wagons,22,1966,Light Gray,1
4.5V,Two Train Wagons,22,1966,Red,3
4.5V,Two Train Wagons,22,1966,White,1
4.5V,4.5V Motor with Wheels (Small Version),16,1966,Blue,1
4.5V,4.5V Motor with Wheels (Small Version),16,1966,Light Gray,3
4.5V,4.5V Motor with Wheels (Small Version),16,1966,Red,3
4.5V,4.5V Motor with Wheels (Small Version),16,1966,White,2
4.5V,4.5V Motor with Wheels (Small Version),16,1966,Black,1
4.5V,Large Train Wagon,15,1966,Light Gray,1
4.5V,Large Train Wagon,15,1966,Red,3
4.5V,Large Train Wagon,15,1966,White,2
4.5V,4.5V Battery Case,1,1966,Blue,1
4.5V,8 Curved Rails Gray 4.5v,32,1980,Dark Gray,1
4.5V,8 Curved Rails Gray 4.5v,32,1980,Light Gray,2
4.5V,8 Straight Rails Gray 4.5v,32,1980,Dark Gray,1
4.5V,8 Straight Rails Gray 4.5v,32,1980,Light Gray,1
4.5V,Left and Right Points Manual Gray 4.5v,14,1980,Black,1
4.5V,Left and Right Points Manual Gray 4.5v,14,1980,Dark Gray,3
4.5V,Left and Right Points Manual Gray 4.5v,14,1980,Light Gray,2
4.5V,"Crossing, Gray 4.5v",5,1980,Dark Gray,1
4.5V,"Crossing, Gray 4.5v",5,1980,Light Gray,1
4.5V,Shell Tanker Wagon,120,1986,[No Color],1
4.5V,Shell Tanker Wagon,120,1986,Black,14
4.5V,Shell Tanker Wagon,120,1986,Blue,1
4.5V,Shell Tanker Wagon,120,1986,Light Gray,11
